Data Year,Fuel Type,ZIP,Number of Vehicles
2010,Electric,94108,1
2010,Electric,94109,3
2010,Electric,94111,1
2010,Electric,94115,2
2010,Electric,94116,2
2010,Electric,94118,1
2010,Electric,94123,3
2010,Electric,94130,1
2010,Electric,94131,1
2010,Electric,94133,2
2010,Electric,94301,7
2010,Electric,94303,3
2010,Electric,94304,9
2010,Electric,94305,1
2010,Electric,94306,7
2010,Electric,94404,2
2010,Electric,94502,1
2010,Electric,94526,1
2010,Electric,94539,1
2010,Electric,94549,4
2010,Electric,94562,1
2010,Electric,94563,4
2010,Electric,94566,3
2010,Electric,94574,1
2010,Electric,94599,1
2010,Electric,94605,1
2010,Electric,94611,2
2010,Electric,94618,1
2010,Electric,94704,1
2010,Electric,94707,2
2010,Electric,94708,1
2010,Electric,94901,2
2010,Electric,94904,1
2010,Electric,94920,2
2010,Electric,94941,2
2010,Electric,94946,1
2010,Electric,94949,1
2010,Electric,94955,1
2010,Electric,94957,3
2010,Electric,94960,1
2010,Electric,94973,1
2010,Electric,95003,1
2010,Electric,95014,4
2010,Electric,95018,2
2010,Electric,95023,1
2010,Electric,95030,4
2010,Electric,95032,2
2010,Electric,95035,1
2010,Electric,95060,1
2010,Electric,95070,5
2010,Electric,95076,1
2010,Electric,95077,1
2010,Electric,95112,1
2010,Electric,95118,1
2010,Electric,95120,2
2010,Electric,95128,2
2010,Electric,95129,1
2010,Electric,95134,1
2010,Electric,95148,1
2010,Electric,95377,1
2010,Electric,95424,1
2010,Electric,95441,1
2010,Electric,95442,1
2010,Electric,95472,2
2010,Electric,95476,2
2010,Electric,95501,1
2010,Electric,95608,1
2010,Electric,95624,1
2010,Electric,95638,1
2010,Electric,95640,1
2010,Electric,95658,1
2010,Electric,95747,1
2010,Electric,95765,1
2010,Electric,99999,9
2010,PHEV,90501,10
2010,PHEV,90509,153
2010,PHEV,90807,1
2010,PHEV,92562,1
2010,PHEV,94025,1
2010,Hydrogen,90049,2
2010,Hydrogen,90077,1
2010,Hydrogen,90210,2
2010,Hydrogen,90272,1
2010,Hydrogen,90277,1
2010,Hydrogen,90501,3
2010,Hydrogen,91423,1
2010,Hydrogen,92603,1
2010,Hydrogen,92657,1
2011,Electric,90004,7
2011,Electric,90006,1
2011,Electric,90007,1
2011,Electric,90010,1
2011,Electric,90012,4
2011,Electric,90015,2
2011,Electric,90016,3
2011,Electric,90017,2
2011,Electric,90018,5
2011,Electric,90019,8
2011,Electric,90020,5
2011,Electric,90021,2
2011,Electric,90022,1
2011,Electric,90023,1
2011,Electric,90024,13
2011,Electric,90025,2
2011,Electric,90026,5
2011,Electric,90027,7
2011,Electric,90028,1
2011,Electric,90031,1
2011,Electric,90032,2
2011,Electric,90034,11
2011,Electric,90035,7
2011,Electric,90036,1
2011,Electric,90039,8
2011,Electric,90041,2
2011,Electric,90042,4
2011,Electric,90043,4
2011,Electric,90045,33
2011,Electric,90046,18
2011,Electric,90048,7
2011,Electric,90049,24
2011,Electric,90056,2
2011,Electric,90057,1
2011,Electric,90063,2
2011,Electric,90064,14
2011,Electric,90065,4
2011,Electric,90066,18
2011,Electric,90067,1
2011,Electric,90068,10
2011,Electric,90069,6
2011,Electric,90071,1
2011,Electric,90077,8
2011,Electric,90095,1
2011,Electric,90201,1
2011,Electric,90210,10
2011,Electric,90211,3
2011,Electric,90212,3
2011,Electric,90220,1
2011,Electric,90230,4
2011,Electric,90232,8
2011,Electric,90240,7
2011,Electric,90241,2
2011,Electric,90245,5
2011,Electric,90247,2
2011,Electric,90248,4
2011,Electric,90249,3
2011,Electric,90250,3
2011,Electric,90254,14
2011,Electric,90260,1
2011,Electric,90262,1
2011,Electric,90265,5
2011,Electric,90266,26
2011,Electric,90272,14
2011,Electric,90274,14
2011,Electric,90275,29
2011,Electric,90277,10
2011,Electric,90278,21
2011,Electric,90290,5
2011,Electric,90291,16
2011,Electric,90292,4
2011,Electric,90293,5
2011,Electric,90295,1
2011,Electric,90301,1
2011,Electric,90302,1
2011,Electric,90401,2
2011,Electric,90402,17
2011,Electric,90403,14
2011,Electric,90404,5
